"Geographic code","Geographic name","Province or territory","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011","2011 adjusted population flag","Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"9330015.01","9330015.01","British Columbia",F,5485,5364,F,2.3,2017,1734,0.93,5888.4,
"9330015.02","9330015.02","British Columbia",F,6246,6163,F,1.3,2319,2052,1.34,4652.2,
"9330016.01","9330016.01","British Columbia",F,5257,5239,F,0.3,1918,1767,0.68,7772.0,
"9330016.04","9330016.04","British Columbia",F,7370,7278,F,1.3,2846,2622,0.94,7871.4,
"9330016.05","9330016.05","British Columbia",F,4764,4955,F,-3.9,2005,1815,0.54,8778.3,
"9330016.06","9330016.06","British Columbia",F,4889,4946,F,-1.2,3239,2448,0.12,39491.1,
"9330017.01","9330017.01","British Columbia",F,7535,6830,F,10.3,2909,2647,1.16,6495.7,
"9330017.02","9330017.02","British Columbia",F,6632,6529,F,1.6,2482,2291,0.85,7761.3,
"9330018.01","9330018.01","British Columbia",F,6933,7039,F,-1.5,2535,2300,0.90,7680.3,
"9330018.02","9330018.02","British Columbia",F,6958,6950,F,0.1,2668,2402,0.99,7038.9,
"9330019.00","9330019.00","British Columbia",F,4882,4848,F,0.7,2160,1924,1.85,2643.9,
"9330020.00","9330020.00","British Columbia",F,2700,2726,F,-1.0,912,842,1.39,1937.8,
"9330021.00","9330021.00","British Columbia",F,3684,3955,F,-6.9,1370,1230,2.21,1666.6,
"9330022.00","9330022.00","British Columbia",F,3062,3177,F,-3.6,1792,1681,0.32,9592.7,
"9330023.00","9330023.00","British Columbia",F,4227,4354,F,-2.9,1558,1367,1.20,3521.3,
"9330024.00","9330024.00","British Columbia",F,5787,5951,F,-2.8,2241,1986,1.70,3399.5,
"9330025.00","9330025.00","British Columbia",F,7420,7413,F,0.1,2993,2692,1.99,3730.1,
"9330026.00","9330026.00","British Columbia",F,4675,4913,F,-4.8,1926,1760,1.26,3712.1,
"9330027.01","9330027.01","British Columbia",F,4074,4145,F,-1.7,1561,1434,1.27,3203.1,
"9330027.02","9330027.02","British Columbia",F,3787,4027,F,-6.0,1541,1387,1.03,3675.6,
"9330028.00","9330028.00","British Columbia",F,3063,3116,F,-1.7,1284,1163,1.47,2077.3,
"9330029.00","9330029.00","British Columbia",F,6798,6512,F,4.4,3011,2779,1.50,4526.9,
"9330030.00","9330030.00","British Columbia",F,6896,6629,F,4.0,2772,2586,1.46,4734.6,
"9330031.01","9330031.01","British Columbia",F,6156,5660,F,8.8,2805,2546,0.90,6854.5,
"9330031.02","9330031.02","British Columbia",F,4621,4657,F,-0.8,1962,1779,0.69,6664.3,
"9330032.00","9330032.00","British Columbia",F,9098,8249,F,10.3,3901,3619,1.24,7324.1,
"9330033.01","9330033.01","British Columbia",F,5187,4643,F,11.7,2072,1914,0.68,7603.3,
"9330033.02","9330033.02","British Columbia",F,3136,2971,F,5.6,1143,1020,0.45,7012.5,
"9330034.01","9330034.01","British Columbia",F,5221,4963,F,5.2,1932,1784,0.67,7755.5,
"9330034.02","9330034.02","British Columbia",F,7294,7293,F,0.0,2650,2487,1.34,5452.2,
"9330035.01","9330035.01","British Columbia",F,4298,4214,F,2.0,1701,1535,0.72,5960.3,
"9330035.02","9330035.02","British Columbia",F,7002,6869,F,1.9,2845,2634,1.53,4564.5,
"9330036.01","9330036.01","British Columbia",F,6222,6051,F,2.8,2215,2087,1.37,4543.6,
"9330036.02","9330036.02","British Columbia",F,6140,5967,F,2.9,2225,2046,1.47,4178.9,
"9330037.01","9330037.01","British Columbia",F,4960,5012,F,-1.0,2215,2017,0.60,8246.1,
"9330037.02","9330037.02","British Columbia",F,3680,3559,F,3.4,1694,1599,0.52,7090.6,
"9330038.00","9330038.00","British Columbia",F,5817,5394,F,7.8,3024,2899,0.59,9877.7,
"9330039.01","9330039.01","British Columbia",F,5896,5630,F,4.7,3578,3369,0.71,8254.2,
"9330039.02","9330039.02","British Columbia",F,5794,5630,F,2.9,3098,2986,0.60,9603.8,
"9330040.01","9330040.01","British Columbia",F,4106,3761,F,9.2,2990,2844,0.27,15196.2,
"9330040.02","9330040.02","British Columbia",F,4601,4360,F,5.5,3003,2953,0.32,14532.5,
"9330041.01","9330041.01","British Columbia",F,4450,4346,F,2.4,2868,2774,0.38,11676.7,
"9330041.02","9330041.02","British Columbia",F,7411,7009,F,5.7,3965,3697,1.00,7403.6,
"9330042.00","9330042.00","British Columbia",F,6482,6118,F,5.9,2964,2640,1.09,5962.7,
"9330043.01","9330043.01","British Columbia",F,4040,3940,F,2.5,1908,1673,0.71,5679.7,
"9330043.02","9330043.02","British Columbia",F,4333,4336,F,-0.1,1760,1596,1.00,4348.7,
"9330044.00","9330044.00","British Columbia",F,4700,4527,F,3.8,2273,2112,2.85,1650.0,
"9330045.01","9330045.01","British Columbia",F,4803,4727,F,1.6,2598,2364,0.67,7138.8,
"9330045.02","9330045.02","British Columbia",F,5870,5517,F,6.4,2990,2780,0.73,8007.1,
"9330046.00","9330046.00","British Columbia",F,5158,4967,F,3.8,3195,3057,0.49,10481.6,
"9330047.01","9330047.01","British Columbia",F,3662,3502,F,4.6,2444,2264,0.33,11016.8,
"9330047.02","9330047.02","British Columbia",F,4102,3982,F,3.0,2796,2682,0.39,10469.6,
"9330048.00","9330048.00","British Columbia",F,7932,7366,F,7.7,5085,4775,1.22,6503.8,
"9330049.01","9330049.01","British Columbia",F,13855,8179,F,69.4,8528,7726,1.55,8935.3,
"9330049.02","9330049.02","British Columbia",F,5968,5788,F,3.1,3249,3143,0.85,7014.6,
"9330050.02","9330050.02","British Columbia",F,6238,5752,F,8.4,3642,3475,0.68,9156.0,
"9330050.03","9330050.03","British Columbia",F,6079,4971,F,22.3,3841,3679,1.29,4702.9,
"9330050.04","9330050.04","British Columbia",F,3148,3212,F,-2.0,2015,1874,0.31,10264.1,
"9330051.01","9330051.01","British Columbia",F,3389,3320,F,2.1,1413,1312,0.54,6226.3,
"9330051.02","9330051.02","British Columbia",F,4671,4671,F,0.0,1843,1739,0.76,6186.8,
"9330052.01","9330052.01","British Columbia",F,6112,5960,F,2.6,2449,2223,1.26,4848.1,
"9330052.02","9330052.02","British Columbia",F,6272,6258,F,0.2,2370,2216,1.33,4731.8,
"9330053.01","9330053.01","British Columbia",F,6548,6508,F,0.6,2641,2461,2.62,2494.7,
"9330053.02","9330053.02","British Columbia",F,3508,3217,F,9.0,1515,1393,0.80,4393.8,
"9330054.01","9330054.01","British Columbia",F,4066,3900,F,4.3,1739,1618,0.59,6939.8,
"9330054.02","9330054.02","British Columbia",F,4476,4326,F,3.5,1686,1575,0.79,5644.4,
"9330055.01","9330055.01","British Columbia",F,5407,5131,F,5.4,2750,2612,0.80,6720.1,
"9330055.02","9330055.02","British Columbia",F,4381,4302,F,1.8,2550,2439,0.65,6715.2,
"9330056.01","9330056.01","British Columbia",F,4142,3793,F,9.2,2511,2401,1.13,3671.3,
"9330056.02","9330056.02","British Columbia",F,4545,4151,F,9.5,2441,2297,0.67,6814.1,
"9330057.01","9330057.01","British Columbia",F,3082,3188,F,-3.3,1665,1475,0.23,13342.0,
"9330057.02","9330057.02","British Columbia",F,4980,5086,F,-2.1,2467,2227,1.63,3062.9,
"9330058.00","9330058.00","British Columbia",F,4203,3792,F,10.8,2292,2089,1.13,3709.3,
"9330059.06","9330059.06","British Columbia",F,7695,6496,F,18.5,4982,4377,0.61,12567.4,
"9330059.07","9330059.07","British Columbia",F,4896,4745,F,3.2,3059,2668,0.26,18823.5,
"9330059.08","9330059.08","British Columbia",F,6976,6843,F,1.9,3840,3449,0.35,20214.4,
"9330059.09","9330059.09","British Columbia",F,6911,4929,F,40.2,4861,4509,0.20,34624.2,
"9330059.10","9330059.10","British Columbia",F,6298,5182,F,21.5,4309,3924,0.20,31632.3,
"9330059.11","9330059.11","British Columbia",F,7163,6291,F,13.9,5202,4256,0.77,9296.6,
"9330059.13","9330059.13","British Columbia",F,4753,4234,T,12.3,2960,2596,0.32,14899.7,
"9330059.14","9330059.14","British Columbia",F,8833,8279,T,6.7,5328,4861,0.59,14953.4,
"9330060.01","9330060.01","British Columbia",F,3124,3039,F,2.8,2174,2058,0.15,21065.4,
"9330060.02","9330060.02","British Columbia",F,5986,5612,F,6.7,4109,3987,0.23,25846.3,
"9330061.00","9330061.00","British Columbia",F,5111,4821,F,6.0,3659,3509,0.21,24119.9,
"9330062.00","9330062.00","British Columbia",F,3426,3209,F,6.8,2512,2355,0.17,20296.2,
"9330063.00","9330063.00","British Columbia",F,3978,3352,F,18.7,2689,2549,0.19,21479.5,
"9330064.00","9330064.00","British Columbia",F,4658,4616,F,0.9,3192,3085,0.24,19489.5,
"9330065.00","9330065.00","British Columbia",F,7147,6767,F,5.6,4801,4515,0.24,29655.6,
"9330066.00","9330066.00","British Columbia",F,8639,7817,F,10.5,5910,4599,0.53,16333.9,
"9330067.01","9330067.01","British Columbia",F,3772,3666,F,2.9,2633,2544,0.19,20246.9,
"9330067.02","9330067.02","British Columbia",F,4773,4501,F,6.0,3016,2585,0.24,20276.1,
"9330068.00","9330068.00","British Columbia",F,5085,4834,F,5.2,3662,3493,4.07,1250.2,
"9330069.01","9330069.01","British Columbia",F,10810,10210,T,5.9,5577,3881,5.44,1986.7,
"9330069.02","9330069.02","British Columbia",F,5080,2567,T,97.9,2612,2128,9.06,560.7,
"9330100.01","9330100.01","British Columbia",F,4226,4025,F,5.0,1693,1605,0.97,4354.5,
"9330100.02","9330100.02","British Columbia",F,7306,6915,F,5.7,3450,3218,2.90,2520.6,
"9330101.03","9330101.03","British Columbia",F,5370,5200,F,3.3,3394,3255,0.34,15864.1,
"9330101.04","9330101.04","British Columbia",F,4505,3756,F,19.9,2685,2475,0.30,14912.3,
"9330101.05","9330101.05","British Columbia",F,4900,4526,F,8.3,2440,2337,0.59,8331.9,
"9330101.06","9330101.06","British Columbia",F,4753,4319,F,10.0,3348,2871,0.42,11249.7,
"9330102.01","9330102.01","British Columbia",F,576,574,T,0.3,178,160,0.28,2074.9,
"9330102.02","9330102.02","British Columbia",F,6440,5158,T,24.9,2634,2418,2.57,2503.3,
"9330103.00","9330103.00","British Columbia",F,7700,6920,F,11.3,3815,3662,1.34,5742.8,
"9330104.00","9330104.00","British Columbia",F,7698,7377,F,4.4,2967,2804,2.41,3189.6,
"9330110.02","9330110.02","British Columbia",F,3065,3168,F,-3.3,1136,1083,2.21,1383.9,
"9330110.03","9330110.03","British Columbia",F,3130,2983,F,4.9,1327,1215,38.78,80.7,
